,gid,population_cnt,year
565,다사236335,377,2018
566,다사273345,511,2018
567,다사290366,6,2018
568,다사269343,390,2018
569,다사265345,47,2018
570,다사265366,167,2018
571,다사242318,389,2018
572,다사285365,0,2018
573,다사245368,515,2018
574,다사279354,789,2018
575,다사252364,71,2018
576,다사245317,403,2018
577,다사242342,449,2018
578,다사250357,7,2018
579,다사251351,0,2018
580,다사260324,578,2018
581,다사270362,197,2018
582,다사255355,0,2018
583,다사263339,407,2018
584,다사244315,142,2018
585,다사271352,99,2018
586,다사256340,0,2018
587,다사242365,479,2018
588,다사269351,34,2018
589,다사273362,83,2018
590,다사265346,197,2018
591,다사285356,231,2018
592,다사261361,187,2018
593,다사229319,1306,2018
594,다사287363,225,2018
595,다사277362,225,2018
596,다사289365,274,2018
597,다사262369,355,2018
598,다사248334,173,2018
599,다사230318,476,2018
600,다사244302,0,2018
601,다사243368,303,2018
602,다사268362,355,2018
603,다사276348,843,2018
604,다사272361,0,2018
605,다사250368,358,2018
606,다사279364,159,2018
607,다사244300,84,2018
608,다사250356,175,2018
609,다사255306,0,2018
610,다사289367,124,2018
611,다사276349,592,2018
612,다사249327,19,2018
613,다사274369,0,2018
614,다사239336,762,2018
615,다사240330,574,2018
616,다사245336,107,2018
617,다사266370,6,2018
618,다사244330,358,2018
619,다사278357,564,2018
620,다사243340,656,2018
621,다사264370,75,2018
622,다사264368,243,2018
623,다사246367,613,2018
624,다사249309,68,2018
625,다사277347,375,2018
626,다사248337,227,2018
627,다사249308,73,2018
628,다사247369,552,2018
629,다사255323,439,2018
630,다사267337,159,2018
631,다사261319,407,2018
632,다사269318,339,2018
633,다사269344,576,2018
634,다사247309,48,2018
635,다사249333,373,2018
636,다사289364,116,2018
637,다사232319,420,2018
638,다사256325,407,2018
639,다사275345,1024,2018
640,다사270357,274,2018
641,다사274355,590,2018
642,다사290370,0,2018
643,다사261366,545,2018
644,다사245316,327,2018
645,다사254355,6,2018
646,다사270340,498,2018
647,다사269346,488,2018
648,다사233324,501,2018
649,다사248338,252,2018
650,다사254367,65,2018
651,다사252311,483,2018
652,다사262338,503,2018
653,다사273342,799,2018
654,다사246360,15,2018
655,다사250332,349,2018
656,다사288356,173,2018
657,다사249329,504,2018
658,다사234323,474,2018
659,다사243335,99,2018
660,다사242363,377,2018
661,다사263359,96,2018
662,다사294364,793,2018
663,다사262348,243,2018
664,다사243333,187,2018
665,다사268338,178,2018
666,다사270360,344,2018
667,다사257371,214,2018
668,다사259323,776,2018
669,다사253367,572,2018
670,다사269319,729,2018
671,다사279363,220,2018
672,다사250353,0,2018
673,다사231319,569,2018
674,다사262350,235,2018
675,다사277356,302,2018
676,다사272355,356,2018
677,다사244368,599,2018
678,다사288365,7,2018
679,다사263362,230,2018
680,다사251331,486,2018
681,다사260349,568,2018
682,다사263337,511,2018
683,다사266361,329,2018
684,다사247358,0,2018
685,다사252305,777,2018
686,다사268347,158,2018
687,다사255364,6,2018
688,다사240333,396,2018
689,다사247306,40,2018
690,다사244328,19,2018
691,다사265368,378,2018
692,다사240364,866,2018
693,다사248309,154,2018
694,다사256365,6,2018
695,다사272343,790,2018
696,다사253353,0,2018
697,다사273359,270,2018
698,다사291360,426,2018
699,다사263352,178,2018
700,다사249357,13,2018
701,다사252363,65,2018
702,다사239339,679,2018
703,다사259366,472,2018
704,다사274361,536,2018
705,다사259347,294,2018
706,다사295375,0,2018
707,다사242332,0,2018
708,다사259348,289,2018
709,다사292364,731,2018
710,다사253352,40,2018
711,다사274363,526,2018
712,다사259365,0,2018
713,다사255309,1360,2018
714,다사251365,467,2018
715,다사261362,281,2018
716,다사261352,62,2018
717,다사277350,1208,2018
718,다사247316,148,2018
719,다사244371,21,2018
720,다사237334,213,2018
721,다사246312,444,2018
722,다사262324,995,2018
723,다사276365,200,2018
