,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
276,송도동,2018,553.765,84.9999,34,분
277,송도동,2018,524.942,84.9999,6,분
278,송도동,2018,555.465,95.8548,49,분
279,송도동,2018,526.436,84.7966,8,분
280,송도동,2018,523.134,84.7966,6,분
281,송도동,2018,545.53,84.9999,48,분
282,송도동,2018,514.589,84.9999,4,분
283,송도동,2018,538.118,84.9999,30,분
284,송도동,2018,547.295,84.9999,39,분
285,송도동,2018,544.715,84.7966,31,분
286,송도동,2018,529.029,95.8548,11,분
287,송도동,2018,535.765,84.9999,18,분
288,송도동,2018,547.295,84.9999,46,분
289,송도동,2018,536.354,84.9999,13,분
290,송도동,2018,552.883,84.9999,31,분
291,송도동,2018,535.765,84.9999,27,분
292,송도동,2018,535.177,84.9999,18,분
293,송도동,2018,535.765,84.9999,16,분
294,송도동,2018,536.354,84.9999,20,분
295,송도동,2018,544.715,84.7966,39,분
296,송도동,2018,530.707,84.9999,8,분
297,송도동,2018,532.097,84.7966,10,분
298,송도동,2018,540.471,84.9999,28,분
299,송도동,2018,531.507,84.7966,21,분
300,송도동,2018,521.231,84.8166,7,분
301,송도동,2018,539.253,95.8548,41,분
302,송도동,2018,535.177,84.9999,12,분
303,송도동,2018,525.53,84.9999,7,분
304,송도동,2018,514.589,84.9999,3,분
305,송도동,2018,537.53,84.9999,23,분
306,송도동,2018,538.118,84.9999,26,분
307,송도동,2018,546.707,84.9999,45,분
308,송도동,2018,514.589,84.9999,4,분
309,송도동,2018,494.001,84.9999,1,분
310,송도동,2018,525.53,84.9999,5,분
311,송도동,2018,530.118,84.9999,9,분
312,송도동,2018,530.707,84.9999,9,분
313,송도동,2018,539.295,84.9999,14,분
314,송도동,2018,529.029,95.8548,16,분
315,송도동,2018,557.577,84.9999,40,분
316,송도동,2018,538.118,84.9999,26,분
317,송도동,2018,538.118,84.9999,20,분
318,송도동,2018,530.073,95.8548,24,분
319,송도동,2018,552.001,84.9999,37,분
320,송도동,2018,547.295,84.9999,41,분
321,송도동,2018,535.765,84.9999,20,분
322,송도동,2018,547.295,84.9999,48,분
323,송도동,2018,534.454,95.8548,39,분
324,송도동,2018,535.765,84.9999,15,분
325,송도동,2018,536.354,84.9999,11,분
326,송도동,2018,538.118,84.9999,21,분
327,송도동,2018,524.942,84.9999,7,분
328,송도동,2018,535.765,84.9999,22,분
