,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
204,송도동,2018,341.61856520202616,84.89,2005,4.0,아파트
205,송도동,2018,352.97439759036143,84.992,2012,3.0,아파트
206,송도동,2018,358.25504714188605,111.6523,2012,23.0,아파트
207,송도동,2018,458.86671686746985,84.992,2012,10.0,아파트
208,송도동,2018,392.886398862201,101.8106,2012,2.0,아파트
209,송도동,2018,309.6749419553031,129.1677,2012,13.0,아파트
210,송도동,2018,358.25504714188605,111.6523,2012,21.0,아파트
211,송도동,2018,392.3872941070295,101.9401,2012,10.0,아파트
212,송도동,2018,332.9005626019508,129.1677,2012,4.0,아파트
213,송도동,2018,412.53071880531104,101.8106,2012,9.0,아파트
214,송도동,2018,429.45218373493975,84.992,2012,6.0,아파트
215,송도동,2018,460.3399433427762,84.72,2015,18.0,아파트
216,송도동,2018,390.8285565398645,115.14,2015,12.0,아파트
217,송도동,2018,471.19802096831194,84.89,2015,22.0,아파트
218,송도동,2018,460.28561312404105,84.73,2015,10.0,아파트
219,송도동,2018,412.29826834727294,84.89,2015,19.0,아파트
220,송도동,2018,459.41807044410416,84.89,2015,11.0,아파트
221,송도동,2018,390.8285565398645,115.14,2015,8.0,아파트
222,송도동,2018,425.93065848879803,117.39,2015,27.0,아파트
223,송도동,2018,432.264199878966,115.67,2015,8.0,아파트
224,송도동,2018,501.42647185960055,115.67,2015,11.0,아파트
225,송도동,2018,371.9520595123295,72.59,2015,20.0,아파트
226,송도동,2018,385.72806171648983,72.59,2015,5.0,아파트
227,송도동,2018,504.3033889187735,148.72,2015,5.0,아파트
228,송도동,2018,376.82524729156853,84.92,2015,13.0,아파트
229,송도동,2018,493.98454306429767,125.51,2015,11.0,아파트
230,송도동,2018,306.1705134243994,84.92,2015,16.0,아파트
231,송도동,2018,306.1705134243994,84.92,2015,4.0,아파트
232,송도동,2018,341.497880357984,84.92,2015,3.0,아파트
233,송도동,2018,423.6290891974582,84.98,2015,27.0,아파트
234,송도동,2018,329.72209138012244,84.92,2015,21.0,아파트
235,송도동,2018,353.2736693358455,84.92,2015,7.0,아파트
236,송도동,2018,486.01705043422834,125.51,2015,14.0,아파트
237,송도동,2018,423.92840320301457,84.92,2015,19.0,아파트
238,송도동,2018,388.5095361431599,84.94,2015,13.0,아파트
239,송도동,2018,319.90521327014216,84.4,2018,28.0,아파트
240,송도동,2018,341.5783274440518,84.9,2017,18.0,아파트
241,송도동,2018,329.64445490934776,84.94,2017,3.0,아파트
242,송도동,2018,416.3582531458179,108.08,2017,24.0,아파트
243,송도동,2018,363.7951105937136,68.72,2017,32.0,아파트
244,송도동,2018,353.3568904593639,84.9,2017,5.0,아파트
245,송도동,2018,341.5783274440518,84.9,2017,38.0,아파트
246,송도동,2018,341.4174711561102,84.94,2017,19.0,아파트
247,송도동,2018,334.69150174621655,68.72,2017,5.0,아파트
248,송도동,2018,296.07698001480384,108.08,2017,22.0,아파트
249,송도동,2018,370.0962250185048,108.08,2017,19.0,아파트
250,송도동,2018,363.7951105937136,68.72,2017,8.0,아파트
